press_kPa,temp_C,v,u,h,s
1400,52.4,0.014119,256.4,276.17,0.9107
1400,60,0.015005,264.46,285.47,0.9389
1400,70,0.01606,274.62,297.1,0.9733
1400,80,0.017023,284.51,308.34,1.0056
1400,90,0.017923,294.28,319.37,1.0364
1400,100,0.018778,304.01,330.3,1.0661
1400,110,0.019597,313.76,341.19,1.0949
1400,120,0.020388,323.55,352.09,1.123
1400,130,0.021155,333.41,363.02,1.1504
1400,140,0.021904,343.34,374.01,1.1773
1400,150,0.022636,353.37,385.07,1.2038
1400,160,0.023355,363.51,396.2,1.2298
1400,170,0.024061,373.75,407.43,1.2554
1400,180,0.024757,384.12,418.78,1.2808
